"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_15x7.5RM7.6","~"
"C1","1","220u","","","","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~"
"C2,C5,C6,C7,C8,C9","6","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3","1","47u","","","","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"C4,C10","2","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"D1,D16","2","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"D2,D4,D7,D9,D19","5","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D3,D5,D6,D8,D10,D11,D12,D13,D14,D15","10","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D17,D18","2","SMAJ30CA","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet"
"F2","1","3588","","","","MiniAutoFuse:3588","https://www.keyelco.com/product-pdf.cfm?p=311"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_5.3mm_M5","~"
"J1","1","Power In Treminal","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J3","1","Relay Terminal","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-09P_1x09_P5.00mm","~"
"J4","1","HMD Terminal","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","~"
"J5","1","RS-485 Terminal","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","~"
"L1","1","33u","","","","Coil:SRR1260-150M","~"
"Q1,Q2,Q3,Q4","4","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"Q5","1","2n2222","","","","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf"
"R1,R3","2","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4,R7,R10,R14","4","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5,R8,R11,R15","4","47k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6,R9,R12,R13,R18,R19,R21,R22","8","68","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R16,R17","2","15","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R20,R23","2","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R24","1","120","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R25","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"TP1,TP3,TP4,TP6","4","HR_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP2","1","PGND_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP5,TP7,TP8,TP9,TP11","5","LGND_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP12","1","RSB_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP13","1","RSA_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP14,TP20","2","5V_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP15","1","U2RX_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP16","1","U2TX_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP18","1","RS_DIR","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP19,TP21","2","3V3_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP22","1","U1TX_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP23","1","U1RX_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP24","1","HMDTX_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP25","1","HMDRX_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP26","1","24V_TP","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"U1","1","~","","","","Custom_Footprints:ESP32_DevKitc_V4",""
"U2","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U3","1","THVD2450DR","","","","THVD:SOIC127P600X175-8N","https://www.ti.com/lit/gpn/thvd2450"
"U4,U5","2","TXU0101DBVR","","","","TXU:SOT95P280X145-6N","TXU0101DBVR"
"U6","1","TVS3300DRV","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","http://www.ti.com/lit/ds/symlink/tvs3300.pdf"
